Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
ATL,2017,8,90.0,0.0,7.0,87.0,76.0,48.0,48.0,42.0,77.0,12.0,8.0,325.0,3.0,6.0,4.9655172413793105,7.9655172413793105,4.344827586206897
BAL,2017,8,79.0,0.0,6.0,91.01,73.0,30.0,29.0,39.0,70.0,11.0,3.0,324.0,0.0,16.0,2.867816723436985,6.922316228985824,3.8567190418635313
BOS,2017,8,86.0,0.0,6.0,80.33,73.0,39.0,37.0,30.0,90.0,13.0,4.0,298.0,0.0,4.0,4.145400224075688,10.083405950454377,3.3611353168181255
CHC,2017,8,97.0,2.0,6.0,103.64999999999999,90.0,54.0,51.0,46.0,98.0,21.0,2.0,388.0,4.0,7.0,4.42836468885673,8.509406657018813,3.994211287988423
CHW,2017,8,88.0,2.0,3.0,99.0,109.0,73.0,72.0,58.0,67.0,21.0,10.0,384.0,2.0,13.0,6.545454545454546,6.090909090909091,5.2727272727272725
CIN,2017,8,80.0,1.0,7.0,96.01,107.0,55.0,52.0,45.0,96.0,11.0,7.0,376.0,4.0,6.0,4.874492240391626,8.999062597646079,4.218310592646599
CLE,2017,8,75.0,0.0,3.0,72.0,58.0,29.0,29.0,17.0,84.0,8.0,2.0,266.0,0.0,5.0,3.625,10.5,2.125
COL,2017,8,92.0,4.0,6.0,110.32,113.0,59.0,56.0,34.0,91.0,10.0,3.0,422.0,0.0,13.0,4.568527918781727,7.423857868020305,2.773749093546048
DET,2017,8,85.0,2.0,7.0,95.67,118.0,61.0,56.0,40.0,86.0,14.0,3.0,381.0,5.0,12.0,5.268109125117592,8.090310442144872,3.762935089369708
HOU,2017,8,90.0,0.0,8.0,95.33,83.0,32.0,25.0,41.0,107.0,8.0,6.0,352.0,6.0,14.0,2.3602223853980906,10.101751809503828,3.870764712052869
KCR,2017,8,92.0,0.0,4.0,96.64999999999999,102.0,60.0,55.0,38.0,83.0,15.0,3.0,377.0,4.0,13.0,5.121572684945681,7.728918779099845,3.538541127780652
LAA,2017,8,84.0,0.0,12.0,98.0,84.0,26.0,24.0,20.0,112.0,7.0,1.0,369.0,5.0,5.0,2.204081632653061,10.285714285714285,1.836734693877551
LAD,2017,8,108.0,1.0,10.0,109.67,84.0,46.0,46.0,35.0,128.0,15.0,5.0,402.0,4.0,6.0,3.7749612473784993,10.50423999270539,2.8722531230053794
