mlb_id,fielding_runs,Month,Year,innings,CompDate
503556,0.0,08,2017,180.88833333333332,2017-08-31
408236,1.0,08,2017,125.25,2017-08-31
446386,1.0,08,2017,102.25,2017-08-31
460576,0.0,08,2017,143.72166666666666,2017-08-31
571771,0.0,08,2017,113.77833333333332,2017-08-31
546318,2.0,08,2017,190.66666666666666,2017-08-31
459964,2.0,08,2017,178.77833333333334,2017-08-31
501571,2.0,08,2017,113.33399999999999,2017-08-31
518934,2.0,08,2017,217.0,2017-08-31
446334,0.0,08,2017,206.66666666666666,2017-08-31
476704,0.0,08,2017,194.0,2017-08-31
622534,4.0,08,2017,209.93400000000003,2017-08-31
545350,0.0,08,2017,127.266,2017-08-31
527043,1.0,08,2017,96.44333333333333,2017-08-31
543543,1.0,08,2017,157.934,2017-08-31
571976,-1.0,08,2017,222.22166666666666,2017-08-31
621566,1.0,08,2017,146.89000000000001,2017-08-31
592620,-2.0,08,2017,124.33333333333333,2017-08-31
456665,-1.0,08,2017,138.4,2017-08-31
457763,4.1,08,2017,180.83333333333334,2017-08-31
541650,-1.0,08,2017,156.11166666666665,2017-08-31
573135,1.0,08,2017,99.534,2017-08-31
543760,-2.0,08,2017,186.75,2017-08-31
519299,1.0,08,2017,112.2,2017-08-31
605486,-5.0,08,2017,169.0,2017-08-31
542513,-1.1,08,2017,92.665,2017-08-31
591720,1.0,08,2017,129.27833333333334,2017-08-31
545361,0.0,08,2017,189.6,2017-08-31
400284,0.0,08,2017,110.27833333333332,2017-08-31
542340,0.0,08,2017,134.61166666666665,2017-08-31
543939,0.0,08,2017,146.66666666666666,2017-08-31
592885,1.0,08,2017,228.11166666666668,2017-08-31
546991,-1.0,06,2017,107.38833333333334,2017-06-30
475174,0.0,06,2017,178.33333333333334,2017-06-30
571437,0.0,06,2017,139.555,2017-06-30
430832,-3.0,06,2017,213.61166666666668,2017-06-30
488721,-1.0,06,2017,79.33333333333333,2017-06-30
598265,1.0,06,2017,200.72166666666666,2017-06-30
621446,0.0,06,2017,56.0,2017-06-30
457803,-1.0,06,2017,205.16666666666666,2017-06-30
621439,4.0,06,2017,190.5,2017-06-30
621043,1.0,06,2017,189.2,2017-06-30
543063,-1.0,06,2017,200.16666666666666,2017-06-30
501981,0.0,06,2017,165.5,2017-06-30
592261,0.0,06,2017,143.5,2017-06-30
518618,-2.0,06,2017,158.11166666666665,2017-06-30
527038,-3.0,06,2017,139.0,2017-06-30
471865,1.0,06,2017,177.33333333333334,2017-06-30
570481,1.0,06,2017,93.77666666666666,2017-06-30
543281,0.0,06,2017,210.6,2017-06-30
