player_name,retro_id,mlb_id,bref_id,fg_id,Team
Carter Kieboom,kiebc001,666198,kieboca01,19958,
Montana DuRapau,duram002,657566,durapmo01,16768,
Michael Feliz,felim001,593140,felizmi01,11903,
Tim Lopes,lopet001,621005,lopesti01,14137,
Hunter Goodman,goodh001,696100,goodmhu01,29715,
Bo Naylor,naylb001,666310,naylobo01,21865,
Blake Dunn,dunnb001,694362,dunnbl01,29487,
Kevin Newman,newmk001,621028,newmake01,17696,
Miles Mastrobuoni,mastm001,670156,mastrmi01,20017,
Jamie Westbrook,westj003,642197,westbja02,15504,
Steward Berroa,berrs002,672642,berrost01,22766,
Trey Cabbage,cabbt001,663550,cabbatr01,21078,
Jackson Holliday,hollj003,702616,hollija01,31781,
Drew Romo,romod001,691011,romodr01,27763,
Jack Lopez,lopej005,605346,lopezja03,13663,
Tommy Pham,phamt001,502054,phamth01,2967,
Niko Kavadas,kavan001,694359,kavadni01,29782,
Liover Peguero,pegul001,678894,pegueli01,24273,
Tim Tawa,tawat001,694374,tawati01,29571,
Blake Sabol,sabob001,666165,sabolbl01,25805,
Dustin Harris,harrd003,687957,harridu01,25705,
Jose Garcia,garcj007,676480,garcijo02,23378,
Blaine Crim,crimb001,688760,crimbl01,25714,
Liam Hicks,hickl001,689414,hicksli01,29844,
JJ Bleday,bledj001,668709,bledajj01,26368,
Denzel Clarke,clard004,672016,clarkde02,29858,
Chadwick Tromp,tromc001,644433,trompch01,16953,
Kristian Campbell,campk002,692225,campbkr01,33644,
Taylor Motter,mottt001,600301,motteta01,12399,
Jake Alu,alu-j001,666906,aluja01,25569,
TJ Friedl,friet001,670770,friedtj01,19522,
Zach Neto,netoz001,687263,netoza01,31347,
Ryan Noda,nodar001,676116,nodary01,23312,
Michael Toglia,toglm001,669911,toglimi01,25845,
Sean Bouchard,boucs001,656248,bouchse01,21270,
Bryan Ramos,ramob001,682868,ramosbr01,25621,
Wilfredo Tovar,tovaw001,541600,tovarwi01,10416,
Mike Ford,fordm002,645801,fordmi01,15585,
Alex Blandino,blana002,607468,blandal01,16271,
Cory Spangenberg,spanc001,605486,spangco01,12294,
Blake Parker,parkb001,453284,parkebl01,5224,
Wyatt Mathisen,mathw001,621500,mathiwy01,14555,
Dalton Guthrie,guthd001,656495,guthrda01,21293,
Matt Mervis,mervm001,670223,mervima01,27845,
Austin Slater,slata001,596103,slateau01,16153,
Isan Diaz,diazi001,656371,diazis01,17922,
Jasson Dominguez,domij003,691176,dominja01,28080,
Marcelo Mayer,mayem002,691785,mayerma01,29668,
Troy Johnston,johnt003,687859,johnstr02,26143,
Ryan Fitzgerald,fitzr001,680837,fitzgry01,24622,
Buddy Kennedy,kennb002,671083,kennebu01,22505,
Chase Meidroth,meidc001,805367,meidrch01,31580,
C J Kayfus,kayfc001,692216,kayfucj01,33704,
Brian Dozier,dozib001,572821,doziebr01,9810,
Francisco Pena,penaf001,506747,penafr01,8298,
Luke Voit,voitl001,572228,voitlu01,14811,
Matt Beaty,beatm001,607461,beatyma01,17710,
Humberto Arteaga,arteh001,600858,arteahu01,13595,
Enyel De Los Santos,deloe001,660853,delosen01,18403,
Matt Grace,gracm003,594840,gracema02,11449,
Jordan Walker,walkj003,691023,walkejo02,27475,
Dominic Smith,smitd008,642086,smithdo02,15653,
Corbin Carroll,carrc005,682998,carroco02,25878,
CJ Alexander,alexc001,680769,alexacj01,20557,
Josh Jung,jungj001,673962,jungjo01,26299,
Wenceel Perez,perew002,672761,perezwe01,22857,
Dylan Beavers,beavd001,687637,beavedy01,31695,
Jimmy Crooks,crooj001,699625,crookji01,31354,
Steve Baron,baros002,571467,baronst01,9787,
Dustin Fowler,fowld002,641583,fowledu01,17098,
Danny Valencia,valed001,502143,valenda01,6364,
Rafael Lopez,loper002,607257,lopezra02,12606,
JB Shuck,shucj001,543776,shuckja01,6677,
Preston Tucker,tuckp001,605512,tuckepr01,13633,
Jesmuel Valentin,valej006,621044,valenje01,14548,
Deivy Grullon,gruld001,620453,grullde01,15988,
Justin Upton,uptoj001,457708,uptonju01,5222,
